Map: 100%|██████████| 10/10 [00:00<00:00, 109.82 examples/s]
/n/holylabs/LABS/dam_lab/Lab/sqin/envs/reason/lib/python3.11/site-packages/transformers/training_args.py:1575: FutureWarning: `evaluation_strategy` is deprecated and will be removed in version 4.46 of 🤗 Transformers. Use `eval_strategy` instead
  warnings.warn(
/n/home05/sqin/self-correct/sudoku/train.py:176: FutureWarning: `tokenizer` is deprecated and will be removed in version 5.0.0 for `Trainer.__init__`. Use `processing_class` instead.
  trainer = Trainer(
Detected kernel version 4.18.0, which is below the recommended minimum of 5.5.0; this can cause the process to hang. It is recommended to upgrade the kernel to the minimum version or higher.
tokenized dataset DatasetDict({
    train: Dataset({
        features: ['input_ids'],
        num_rows: 10000
    })
    val: Dataset({
        features: ['input_ids'],
        num_rows: 10
    })
})
[2025-01-15 18:09:12,925] [INFO] [real_accelerator.py:158:get_accelerator] Setting ds_accelerator to cuda (auto detect)
{'loss': 2.3947, 'grad_norm': 25.75, 'learning_rate': 2.0000000000000002e-07, 'epoch': 0.008}
{'loss': 1.1689, 'grad_norm': 13.4375, 'learning_rate': 7.800000000000002e-06, 'epoch': 0.312}
{'loss': 1.1512, 'grad_norm': 12.8125, 'learning_rate': 8.000000000000001e-06, 'epoch': 0.32}
{'eval_valid_loss': 0.29445788264274597, 'eval_valid_runtime': 0.126, 'eval_valid_samples_per_second': 79.336, 'eval_valid_steps_per_second': 39.668, 'epoch': 0.32}
{'loss': 1.163, 'grad_norm': 11.875, 'learning_rate': 8.2e-06, 'epoch': 0.328}
{'loss': 1.1528, 'grad_norm': 18.625, 'learning_rate': 8.400000000000001e-06, 'epoch': 0.336}
{'loss': 1.1216, 'grad_norm': 16.875, 'learning_rate': 8.6e-06, 'epoch': 0.344}
{'loss': 1.1304, 'grad_norm': 19.125, 'learning_rate': 8.8e-06, 'epoch': 0.352}
{'loss': 1.118, 'grad_norm': 16.375, 'learning_rate': 9e-06, 'epoch': 0.36}
{'loss': 1.113, 'grad_norm': 16.125, 'learning_rate': 9.200000000000002e-06, 'epoch': 0.368}
{'loss': 1.0919, 'grad_norm': 21.375, 'learning_rate': 9.4e-06, 'epoch': 0.376}
{'loss': 1.0809, 'grad_norm': 17.25, 'learning_rate': 9.600000000000001e-06, 'epoch': 0.384}
{'loss': 1.0654, 'grad_norm': 16.875, 'learning_rate': 9.800000000000001e-06, 'epoch': 0.392}
{'loss': 1.0526, 'grad_norm': 15.3125, 'learning_rate': 1e-05, 'epoch': 0.4}
{'eval_valid_loss': 0.2651115953922272, 'eval_valid_runtime': 0.1256, 'eval_valid_samples_per_second': 79.601, 'eval_valid_steps_per_second': 39.8, 'epoch': 0.4}
{'loss': 1.0466, 'grad_norm': 20.75, 'learning_rate': 9.977777777777778e-06, 'epoch': 0.408}
{'loss': 1.039, 'grad_norm': 20.125, 'learning_rate': 9.955555555555556e-06, 'epoch': 0.416}
{'loss': 1.0223, 'grad_norm': 22.25, 'learning_rate': 9.933333333333334e-06, 'epoch': 0.424}
{'loss': 0.9928, 'grad_norm': 19.25, 'learning_rate': 9.911111111111113e-06, 'epoch': 0.432}
{'loss': 0.9668, 'grad_norm': 17.625, 'learning_rate': 9.88888888888889e-06, 'epoch': 0.44}
{'loss': 0.9582, 'grad_norm': 19.625, 'learning_rate': 9.866666666666668e-06, 'epoch': 0.448}
{'loss': 0.9483, 'grad_norm': 20.5, 'learning_rate': 9.844444444444446e-06, 'epoch': 0.456}
{'loss': 0.943, 'grad_norm': 20.125, 'learning_rate': 9.822222222222223e-06, 'epoch': 0.464}
{'loss': 0.9377, 'grad_norm': 15.9375, 'learning_rate': 9.800000000000001e-06, 'epoch': 0.472}
{'loss': 0.9264, 'grad_norm': 16.625, 'learning_rate': 9.777777777777779e-06, 'epoch': 0.48}
{'eval_valid_loss': 0.23475627601146698, 'eval_valid_runtime': 0.1263, 'eval_valid_samples_per_second': 79.175, 'eval_valid_steps_per_second': 39.588, 'epoch': 0.48}
{'loss': 0.9348, 'grad_norm': 19.25, 'learning_rate': 9.755555555555556e-06, 'epoch': 0.488}
{'loss': 0.9308, 'grad_norm': 15.5, 'learning_rate': 9.733333333333334e-06, 'epoch': 0.496}
{'loss': 0.9295, 'grad_norm': 18.875, 'learning_rate': 9.711111111111111e-06, 'epoch': 0.504}
{'loss': 0.9218, 'grad_norm': 18.5, 'learning_rate': 9.688888888888889e-06, 'epoch': 0.512}
{'loss': 0.9158, 'grad_norm': 21.875, 'learning_rate': 9.666666666666667e-06, 'epoch': 0.52}
{'loss': 0.9159, 'grad_norm': 24.75, 'learning_rate': 9.644444444444444e-06, 'epoch': 0.528}
{'loss': 0.916, 'grad_norm': 15.0625, 'learning_rate': 9.622222222222222e-06, 'epoch': 0.536}
{'loss': 0.9006, 'grad_norm': 25.25, 'learning_rate': 9.600000000000001e-06, 'epoch': 0.544}
{'loss': 0.9143, 'grad_norm': 22.5, 'learning_rate': 9.577777777777779e-06, 'epoch': 0.552}
{'loss': 0.908, 'grad_norm': 16.5, 'learning_rate': 9.555555555555556e-06, 'epoch': 0.56}
{'eval_valid_loss': 0.22635629773139954, 'eval_valid_runtime': 0.1257, 'eval_valid_samples_per_second': 79.573, 'eval_valid_steps_per_second': 39.786, 'epoch': 0.56}
{'loss': 0.9048, 'grad_norm': 15.8125, 'learning_rate': 9.533333333333334e-06, 'epoch': 0.568}
{'loss': 0.8899, 'grad_norm': 16.25, 'learning_rate': 9.511111111111112e-06, 'epoch': 0.576}
{'loss': 0.8932, 'grad_norm': 17.125, 'learning_rate': 9.48888888888889e-06, 'epoch': 0.584}
{'loss': 0.8877, 'grad_norm': 24.75, 'learning_rate': 9.466666666666667e-06, 'epoch': 0.592}
{'loss': 0.894, 'grad_norm': 20.875, 'learning_rate': 9.444444444444445e-06, 'epoch': 0.6}
{'loss': 0.8932, 'grad_norm': 22.875, 'learning_rate': 9.422222222222222e-06, 'epoch': 0.608}
{'loss': 0.8942, 'grad_norm': 17.5, 'learning_rate': 9.4e-06, 'epoch': 0.616}
{'loss': 0.8864, 'grad_norm': 19.5, 'learning_rate': 9.377777777777779e-06, 'epoch': 0.624}
{'loss': 0.8722, 'grad_norm': 31.875, 'learning_rate': 9.355555555555557e-06, 'epoch': 0.632}
{'loss': 0.8855, 'grad_norm': 20.25, 'learning_rate': 9.333333333333334e-06, 'epoch': 0.64}
{'eval_valid_loss': 0.21991810202598572, 'eval_valid_runtime': 0.1256, 'eval_valid_samples_per_second': 79.607, 'eval_valid_steps_per_second': 39.803, 'epoch': 0.64}
{'loss': 0.8789, 'grad_norm': 16.625, 'learning_rate': 9.311111111111112e-06, 'epoch': 0.648}
{'loss': 0.8679, 'grad_norm': 17.875, 'learning_rate': 9.28888888888889e-06, 'epoch': 0.656}
{'loss': 0.8797, 'grad_norm': 14.9375, 'learning_rate': 9.266666666666667e-06, 'epoch': 0.664}
{'loss': 0.8795, 'grad_norm': 15.625, 'learning_rate': 9.244444444444445e-06, 'epoch': 0.672}
{'loss': 0.8786, 'grad_norm': 36.0, 'learning_rate': 9.222222222222224e-06, 'epoch': 0.68}
{'loss': 0.865, 'grad_norm': 16.125, 'learning_rate': 9.200000000000002e-06, 'epoch': 0.688}
{'loss': 0.8714, 'grad_norm': 16.875, 'learning_rate': 9.17777777777778e-06, 'epoch': 0.696}
{'loss': 0.8749, 'grad_norm': 16.625, 'learning_rate': 9.155555555555557e-06, 'epoch': 0.704}
{'loss': 0.8596, 'grad_norm': 17.5, 'learning_rate': 9.133333333333335e-06, 'epoch': 0.712}
{'loss': 0.8644, 'grad_norm': 29.125, 'learning_rate': 9.111111111111112e-06, 'epoch': 0.72}
{'eval_valid_loss': 0.21936695277690887, 'eval_valid_runtime': 0.1259, 'eval_valid_samples_per_second': 79.428, 'eval_valid_steps_per_second': 39.714, 'epoch': 0.72}
{'loss': 0.8689, 'grad_norm': 15.5625, 'learning_rate': 9.08888888888889e-06, 'epoch': 0.728}
{'loss': 0.8687, 'grad_norm': 22.625, 'learning_rate': 9.066666666666667e-06, 'epoch': 0.736}
{'loss': 0.8728, 'grad_norm': 15.8125, 'learning_rate': 9.044444444444445e-06, 'epoch': 0.744}
{'loss': 0.853, 'grad_norm': 20.625, 'learning_rate': 9.022222222222223e-06, 'epoch': 0.752}
{'loss': 0.8708, 'grad_norm': 26.25, 'learning_rate': 9e-06, 'epoch': 0.76}
{'loss': 0.855, 'grad_norm': 14.25, 'learning_rate': 8.977777777777778e-06, 'epoch': 0.768}
{'loss': 0.8641, 'grad_norm': 20.125, 'learning_rate': 8.955555555555555e-06, 'epoch': 0.776}
{'loss': 0.8608, 'grad_norm': 25.875, 'learning_rate': 8.933333333333333e-06, 'epoch': 0.784}
{'loss': 0.8616, 'grad_norm': 20.875, 'learning_rate': 8.91111111111111e-06, 'epoch': 0.792}
{'loss': 0.8685, 'grad_norm': 15.8125, 'learning_rate': 8.888888888888888e-06, 'epoch': 0.8}
{'eval_valid_loss': 0.21322187781333923, 'eval_valid_runtime': 0.1256, 'eval_valid_samples_per_second': 79.597, 'eval_valid_steps_per_second': 39.799, 'epoch': 0.8}
{'loss': 0.8696, 'grad_norm': 21.875, 'learning_rate': 8.866666666666668e-06, 'epoch': 0.808}
{'loss': 0.8612, 'grad_norm': 17.625, 'learning_rate': 8.844444444444445e-06, 'epoch': 0.816}
{'loss': 0.8524, 'grad_norm': 16.5, 'learning_rate': 8.822222222222223e-06, 'epoch': 0.824}
{'loss': 0.8588, 'grad_norm': 25.0, 'learning_rate': 8.8e-06, 'epoch': 0.832}
{'loss': 0.8605, 'grad_norm': 18.375, 'learning_rate': 8.777777777777778e-06, 'epoch': 0.84}
{'loss': 0.8573, 'grad_norm': 16.375, 'learning_rate': 8.755555555555556e-06, 'epoch': 0.848}
{'loss': 0.8486, 'grad_norm': 31.375, 'learning_rate': 8.733333333333333e-06, 'epoch': 0.856}
{'loss': 0.8596, 'grad_norm': 22.25, 'learning_rate': 8.711111111111111e-06, 'epoch': 0.864}
{'loss': 0.8493, 'grad_norm': 20.0, 'learning_rate': 8.68888888888889e-06, 'epoch': 0.872}
{'loss': 0.8517, 'grad_norm': 14.0625, 'learning_rate': 8.666666666666668e-06, 'epoch': 0.88}
{'eval_valid_loss': 0.21399304270744324, 'eval_valid_runtime': 0.1256, 'eval_valid_samples_per_second': 79.634, 'eval_valid_steps_per_second': 39.817, 'epoch': 0.88}
{'loss': 0.8531, 'grad_norm': 17.625, 'learning_rate': 8.644444444444445e-06, 'epoch': 0.888}
{'loss': 0.8617, 'grad_norm': 19.375, 'learning_rate': 8.622222222222223e-06, 'epoch': 0.896}
{'loss': 0.8492, 'grad_norm': 20.25, 'learning_rate': 8.6e-06, 'epoch': 0.904}
{'loss': 0.8607, 'grad_norm': 18.25, 'learning_rate': 8.577777777777778e-06, 'epoch': 0.912}
{'loss': 0.853, 'grad_norm': 20.0, 'learning_rate': 8.555555555555556e-06, 'epoch': 0.92}
{'loss': 0.8473, 'grad_norm': 14.9375, 'learning_rate': 8.533333333333335e-06, 'epoch': 0.928}
{'loss': 0.8491, 'grad_norm': 21.25, 'learning_rate': 8.511111111111113e-06, 'epoch': 0.936}
{'loss': 0.8467, 'grad_norm': 22.375, 'learning_rate': 8.48888888888889e-06, 'epoch': 0.944}
{'loss': 0.8445, 'grad_norm': 20.5, 'learning_rate': 8.466666666666668e-06, 'epoch': 0.952}
{'loss': 0.8389, 'grad_norm': 17.125, 'learning_rate': 8.444444444444446e-06, 'epoch': 0.96}
{'eval_valid_loss': 0.210819274187088, 'eval_valid_runtime': 0.125, 'eval_valid_samples_per_second': 79.972, 'eval_valid_steps_per_second': 39.986, 'epoch': 0.96}
{'loss': 0.8461, 'grad_norm': 26.375, 'learning_rate': 8.422222222222223e-06, 'epoch': 0.968}
{'loss': 0.8472, 'grad_norm': 13.5, 'learning_rate': 8.400000000000001e-06, 'epoch': 0.976}
{'loss': 0.8434, 'grad_norm': 20.0, 'learning_rate': 8.377777777777779e-06, 'epoch': 0.984}
{'loss': 0.8385, 'grad_norm': 18.5, 'learning_rate': 8.355555555555556e-06, 'epoch': 0.992}
{'loss': 0.8457, 'grad_norm': 14.9375, 'learning_rate': 8.333333333333334e-06, 'epoch': 1.0}
{'loss': 0.8477, 'grad_norm': 21.75, 'learning_rate': 8.311111111111111e-06, 'epoch': 1.008}
{'loss': 0.8348, 'grad_norm': 18.25, 'learning_rate': 8.288888888888889e-06, 'epoch': 1.016}
{'loss': 0.8393, 'grad_norm': 18.25, 'learning_rate': 8.266666666666667e-06, 'epoch': 1.024}
{'loss': 0.8392, 'grad_norm': 17.25, 'learning_rate': 8.244444444444444e-06, 'epoch': 1.032}
{'loss': 0.841, 'grad_norm': 16.25, 'learning_rate': 8.222222222222222e-06, 'epoch': 1.04}
{'eval_valid_loss': 0.21109366416931152, 'eval_valid_runtime': 0.1255, 'eval_valid_samples_per_second': 79.685, 'eval_valid_steps_per_second': 39.843, 'epoch': 1.04}
{'loss': 0.844, 'grad_norm': 19.25, 'learning_rate': 8.2e-06, 'epoch': 1.048}
{'loss': 0.8418, 'grad_norm': 29.25, 'learning_rate': 8.177777777777779e-06, 'epoch': 1.056}
{'loss': 0.831, 'grad_norm': 23.25, 'learning_rate': 8.155555555555556e-06, 'epoch': 1.064}
{'loss': 0.8506, 'grad_norm': 18.75, 'learning_rate': 8.133333333333334e-06, 'epoch': 1.072}
{'loss': 0.833, 'grad_norm': 20.125, 'learning_rate': 8.111111111111112e-06, 'epoch': 1.08}
{'loss': 0.8426, 'grad_norm': 20.375, 'learning_rate': 8.08888888888889e-06, 'epoch': 1.088}
{'loss': 0.8429, 'grad_norm': 18.75, 'learning_rate': 8.066666666666667e-06, 'epoch': 1.096}
{'loss': 0.8447, 'grad_norm': 20.5, 'learning_rate': 8.044444444444444e-06, 'epoch': 1.104}
{'loss': 0.8362, 'grad_norm': 25.625, 'learning_rate': 8.022222222222222e-06, 'epoch': 1.112}
{'loss': 0.8452, 'grad_norm': 25.75, 'learning_rate': 8.000000000000001e-06, 'epoch': 1.12}
{'eval_valid_loss': 0.21110355854034424, 'eval_valid_runtime': 0.1254, 'eval_valid_samples_per_second': 79.751, 'eval_valid_steps_per_second': 39.875, 'epoch': 1.12}
{'loss': 0.8436, 'grad_norm': 30.0, 'learning_rate': 7.977777777777779e-06, 'epoch': 1.1280000000000001}
{'loss': 0.8286, 'grad_norm': 29.75, 'learning_rate': 7.955555555555557e-06, 'epoch': 1.1360000000000001}
{'loss': 0.8287, 'grad_norm': 18.125, 'learning_rate': 7.933333333333334e-06, 'epoch': 1.144}
{'loss': 0.8454, 'grad_norm': 15.125, 'learning_rate': 7.911111111111112e-06, 'epoch': 1.152}
{'loss': 0.8399, 'grad_norm': 25.25, 'learning_rate': 7.88888888888889e-06, 'epoch': 1.16}
{'loss': 0.8247, 'grad_norm': 28.0, 'learning_rate': 7.866666666666667e-06, 'epoch': 1.168}
{'loss': 0.8313, 'grad_norm': 14.375, 'learning_rate': 7.844444444444446e-06, 'epoch': 1.176}
{'loss': 0.8302, 'grad_norm': 28.625, 'learning_rate': 7.822222222222224e-06, 'epoch': 1.184}
{'loss': 0.8303, 'grad_norm': 13.5, 'learning_rate': 7.800000000000002e-06, 'epoch': 1.192}
{'loss': 0.8354, 'grad_norm': 18.5, 'learning_rate': 7.77777777777778e-06, 'epoch': 1.2}
{'eval_valid_loss': 0.20834653079509735, 'eval_valid_runtime': 0.1252, 'eval_valid_samples_per_second': 79.849, 'eval_valid_steps_per_second': 39.924, 'epoch': 1.2}
{'loss': 0.8237, 'grad_norm': 22.625, 'learning_rate': 7.755555555555557e-06, 'epoch': 1.208}
{'loss': 0.8284, 'grad_norm': 17.625, 'learning_rate': 7.733333333333334e-06, 'epoch': 1.216}
{'loss': 0.8222, 'grad_norm': 13.5, 'learning_rate': 7.711111111111112e-06, 'epoch': 1.224}
{'loss': 0.8355, 'grad_norm': 19.0, 'learning_rate': 7.68888888888889e-06, 'epoch': 1.232}
{'loss': 0.8381, 'grad_norm': 16.125, 'learning_rate': 7.666666666666667e-06, 'epoch': 1.24}
{'loss': 0.8394, 'grad_norm': 17.0, 'learning_rate': 7.644444444444445e-06, 'epoch': 1.248}
{'loss': 0.8253, 'grad_norm': 16.125, 'learning_rate': 7.622222222222223e-06, 'epoch': 1.256}
{'loss': 0.8234, 'grad_norm': 17.125, 'learning_rate': 7.600000000000001e-06, 'epoch': 1.264}
{'loss': 0.8278, 'grad_norm': 21.125, 'learning_rate': 7.5777777777777785e-06, 'epoch': 1.272}
{'loss': 0.8359, 'grad_norm': 22.875, 'learning_rate': 7.555555555555556e-06, 'epoch': 1.28}
{'eval_valid_loss': 0.20856919884681702, 'eval_valid_runtime': 0.1261, 'eval_valid_samples_per_second': 79.287, 'eval_valid_steps_per_second': 39.643, 'epoch': 1.28}
{'loss': 0.8325, 'grad_norm': 17.25, 'learning_rate': 7.533333333333334e-06, 'epoch': 1.288}
{'loss': 0.8411, 'grad_norm': 19.375, 'learning_rate': 7.511111111111111e-06, 'epoch': 1.296}
{'loss': 0.8349, 'grad_norm': 20.125, 'learning_rate': 7.48888888888889e-06, 'epoch': 1.304}
{'loss': 0.8293, 'grad_norm': 18.75, 'learning_rate': 7.4666666666666675e-06, 'epoch': 1.312}
{'loss': 0.833, 'grad_norm': 18.75, 'learning_rate': 7.444444444444445e-06, 'epoch': 1.32}
{'loss': 0.8135, 'grad_norm': 19.5, 'learning_rate': 7.422222222222223e-06, 'epoch': 1.328}
{'loss': 0.8378, 'grad_norm': 23.375, 'learning_rate': 7.4e-06, 'epoch': 1.336}
{'loss': 0.8319, 'grad_norm': 18.125, 'learning_rate': 7.377777777777778e-06, 'epoch': 1.3439999999999999}
{'loss': 0.8335, 'grad_norm': 17.125, 'learning_rate': 7.3555555555555555e-06, 'epoch': 1.3519999999999999}
{'loss': 0.8295, 'grad_norm': 14.3125, 'learning_rate': 7.333333333333333e-06, 'epoch': 1.3599999999999999}
{'eval_valid_loss': 0.20845714211463928, 'eval_valid_runtime': 0.1255, 'eval_valid_samples_per_second': 79.673, 'eval_valid_steps_per_second': 39.836, 'epoch': 1.3599999999999999}
{'loss': 0.831, 'grad_norm': 21.25, 'learning_rate': 7.3111111111111125e-06, 'epoch': 1.3679999999999999}
{'loss': 0.8241, 'grad_norm': 16.5, 'learning_rate': 7.28888888888889e-06, 'epoch': 1.376}
{'loss': 0.8294, 'grad_norm': 22.625, 'learning_rate': 7.266666666666668e-06, 'epoch': 1.384}
{'loss': 0.8308, 'grad_norm': 14.3125, 'learning_rate': 7.244444444444445e-06, 'epoch': 1.392}
{'loss': 0.8379, 'grad_norm': 19.375, 'learning_rate': 7.222222222222223e-06, 'epoch': 1.4}
{'loss': 0.8288, 'grad_norm': 22.375, 'learning_rate': 7.2000000000000005e-06, 'epoch': 1.408}
{'loss': 0.8303, 'grad_norm': 15.75, 'learning_rate': 7.177777777777778e-06, 'epoch': 1.416}
{'loss': 0.8195, 'grad_norm': 25.875, 'learning_rate': 7.155555555555556e-06, 'epoch': 1.424}
{'loss': 0.8273, 'grad_norm': 18.625, 'learning_rate': 7.133333333333334e-06, 'epoch': 1.432}
{'loss': 0.8337, 'grad_norm': 17.75, 'learning_rate': 7.111111111111112e-06, 'epoch': 1.44}
{'eval_valid_loss': 0.20786647498607635, 'eval_valid_runtime': 0.1259, 'eval_valid_samples_per_second': 79.459, 'eval_valid_steps_per_second': 39.73, 'epoch': 1.44}
{'loss': 0.8248, 'grad_norm': 19.5, 'learning_rate': 7.0888888888888894e-06, 'epoch': 1.448}
{'loss': 0.8282, 'grad_norm': 14.625, 'learning_rate': 7.066666666666667e-06, 'epoch': 1.456}
{'loss': 0.8321, 'grad_norm': 25.875, 'learning_rate': 7.044444444444445e-06, 'epoch': 1.464}
{'loss': 0.818, 'grad_norm': 21.875, 'learning_rate': 7.022222222222222e-06, 'epoch': 1.472}
{'loss': 0.8315, 'grad_norm': 21.125, 'learning_rate': 7e-06, 'epoch': 1.48}
{'loss': 0.8231, 'grad_norm': 16.0, 'learning_rate': 6.977777777777779e-06, 'epoch': 1.488}
{'loss': 0.8291, 'grad_norm': 15.0, 'learning_rate': 6.955555555555557e-06, 'epoch': 1.496}
{'loss': 0.8275, 'grad_norm': 20.25, 'learning_rate': 6.9333333333333344e-06, 'epoch': 1.504}
{'loss': 0.8275, 'grad_norm': 16.875, 'learning_rate': 6.911111111111112e-06, 'epoch': 1.512}
{'loss': 0.8183, 'grad_norm': 14.625, 'learning_rate': 6.88888888888889e-06, 'epoch': 1.52}
{'eval_valid_loss': 0.20682771503925323, 'eval_valid_runtime': 0.1254, 'eval_valid_samples_per_second': 79.723, 'eval_valid_steps_per_second': 39.861, 'epoch': 1.52}
{'loss': 0.8186, 'grad_norm': 22.875, 'learning_rate': 6.866666666666667e-06, 'epoch': 1.528}
{'loss': 0.8402, 'grad_norm': 21.0, 'learning_rate': 6.844444444444445e-06, 'epoch': 1.536}
{'loss': 0.8168, 'grad_norm': 20.625, 'learning_rate': 6.8222222222222225e-06, 'epoch': 1.544}
{'loss': 0.8285, 'grad_norm': 18.125, 'learning_rate': 6.800000000000001e-06, 'epoch': 1.552}
{'loss': 0.8314, 'grad_norm': 13.0, 'learning_rate': 6.777777777777779e-06, 'epoch': 1.56}
{'loss': 0.8175, 'grad_norm': 18.125, 'learning_rate': 6.755555555555556e-06, 'epoch': 1.568}
{'loss': 0.8137, 'grad_norm': 20.5, 'learning_rate': 6.733333333333334e-06, 'epoch': 1.576}
{'loss': 0.8204, 'grad_norm': 14.625, 'learning_rate': 6.711111111111111e-06, 'epoch': 1.584}
{'loss': 0.8177, 'grad_norm': 17.75, 'learning_rate': 6.688888888888889e-06, 'epoch': 1.592}
{'loss': 0.8254, 'grad_norm': 14.4375, 'learning_rate': 6.666666666666667e-06, 'epoch': 1.6}
{'eval_valid_loss': 0.20711612701416016, 'eval_valid_runtime': 0.1257, 'eval_valid_samples_per_second': 79.528, 'eval_valid_steps_per_second': 39.764, 'epoch': 1.6}
